Packet Index,Packet Length (Original),Packet Length (Doubled)
235,86,171.99999999764472
236,603,1206.0000000010104
237,86,171.99999999865577
238,1486,2971.999999998754
239,1486,2972.000000002039
240,874,1748.0000000001028
241,86,172.00000000079496
242,86,172.00000000102824
243,166,331.9999999973062
244,1234,2467.999999999891
245,1486,2971.999999999666
246,251,502.0000000003308
247,389,777.9999999977049
248,389,777.9999999999868
249,148,295.99999999863013
250,86,171.9999999966924
251,117,233.99999999999972
252,117,233.99999999824328
253,86,172.0000000052777
254,117,234.00000000360652
255,98,195.99999999940513
256,879,1757.9999999986605
257,86,171.99999999841248
258,122,243.99999999995464
259,122,244.0000000040137
260,122,243.99999999886518
261,679,1357.9999999999827
262,86,172.00000000121292
263,102,204.0000000006452
264,125,250.0000000012505
265,110,220.00000000111734
266,88,175.99999999763077
267,86,171.99999999894922
268,86,171.99999999896067
269,86,172.0000000014096
270,86,171.99999999666488
271,86,171.99999999744665
272,98,195.99999999936966
273,94,187.99999999229243
274,86,171.99999999688848
275,603,1205.9999999966785
276,588,1176.000000000369
277,86,172.00000000197983
278,588,1175.9999999991746
279,86,172.00000000439735
280,117,234.00000000001617
281,122,244.000000000321
282,122,243.99999999452467
283,122,244.00000000089602
284,86,171.99999999965343
285,1486,2971.9999999982906
286,1486,2971.9999999995416
287,86,172.000000001498
288,607,1213.9999999985032
289,86,171.99999999830663
290,102,204.00000000657656
291,874,1747.9999999969114
292,86,172.00000000021623
293,88,176.0000000030839
294,166,331.9999999976254
295,1479,2958.000000001741
296,709,1417.9999999980241
297,389,778.0000000009331
298,389,778.0000000002249
299,148,295.9999999995057
300,86,172.00000000112644
301,117,233.999999998657
302,86,172.00000000183508
303,117,233.9999999949767
304,86,171.99999999170666
305,588,1175.9999999998809
306,588,1175.99999999549
307,86,172.00000000839054
308,86,171.99999999790342
309,117,234.00000000193506
310,78,156.00000000023815
311,117,234.00000000931283
312,88,175.99999999526088
313,98,196.00000000012298
314,74,147.9999999992203
315,66,132.00000000404927
316,1466,2932.0000000036734
317,536,1072.000000002879
318,66,132.00000000163408
319,444,888.000000007228
320,66,132.00000000027785
321,130,260.0000000009119
322,158,315.99999999949
323,497,994.0000000042888
324,225,450.0000000014621
325,109,217.99999999984914
326,66,131.9999999991776
327,66,132.00000000043428
328,127,254.00000000124908
329,66,132.00000000057236
330,97,193.99999999979389
331,66,131.99999999846386
332,101,201.99999999915616
333,97,193.9999999989814
334,66,132.00000000272283
335,66,132.00000000075335
336,224,447.9999999993857
337,481,961.9999999980505
338,66,131.99999999998113
339,66,132.00000000009777
340,66,131.9999999998616
341,90,179.9999999981281
342,66,131.99999999979443
343,54,108.00000000050721
344,54,108.0000000000035
345,728,1455.999999999306
346,86,172.0000000037782
347,98,196.0000000037867
348,74,148.0000000029986
349,74,148.0000000022088
350,98,196.00000000192566
351,74,147.99999999971647
352,74,148.00000000016527
353,74,147.99999999954582
354,230,460.0000000007601
355,921,1842.0000000019263
356,117,234.00000000121508
357,74,148.00000000099908
358,74,148.00000000240652
359,86,172.00000000187742
360,86,171.9999999998534
361,86,172.00000000230278
362,74,147.99999999980096
363,74,147.99999999588135
364,234,468.0000000003511
365,111,222.00000000101815
366,111,222.00000000208294
367,1486,2971.999999999569
368,456,911.9999999984332
369,456,912.0000000005084
370,78,156.00000000542764
371,86,172.00000000323908
372,98,196.0000000004522
373,205,409.9999999981276
374,1486,2971.9999999994734
375,1115,2229.9999999985484
376,86,172.00000000281136
377,86,171.99999999829532
378,60,119.99999999831503
379,42,83.99999999575545
380,86,171.9999999988709
381,78,156.00000000032367
382,86,172.00000000221127
383,78,155.99999999977337
384,86,171.99999999967872
385,78,155.99999999764964
386,1486,2972.0000000003893
387,560,1120.0000000003015
388,560,1119.9999999954255
389,86,172.00000000341333
390,98,195.99999999918384
391,421,841.9999999979599
392,66,131.99999999897142
393,98,195.99999999769656
394,66,132.0000000031883
395,279,558.0000000006578
396,977,1953.999999999201
397,117,233.99999999767866
398,86,172.00000000239731
399,86,171.99999999577022
400,86,171.9999999944045
401,119,238.00000000029266
402,109,218.00000000156953
403,1486,2971.999999998741
404,1486,2972.0000000004748
405,109,217.99999999870698
406,1486,2972.0000000006075
407,66,131.99999999805937
408,78,156.0000000005368
409,86,171.99999999941997
410,98,196.0000000010407
411,1162,2324.0000000005916
412,86,171.9999999993065
413,114,227.99999999886677
414,78,155.99999999966946
415,120,240.00000000194672
416,66,131.99999999790387
417,125,249.99999999620138
418,110,220.0000000040176
419,86,172.0000000013291
420,86,171.9999999995981
421,86,171.99999999983825
422,86,172.00000000371756
423,86,172.00000000168336
424,122,243.99999999870738
425,122,244.00000000221576
426,122,243.99999999952897
427,95,189.99999999738725
428,95,189.9999999923354
429,677,1353.9999999990405
430,86,171.99999999931626
431,102,203.9999999977679
432,88,175.99999999870093
433,588,1175.9999999971942
434,86,172.00000000183468
435,116,231.99999999678528
436,122,244.00000000235258
437,122,244.00000000062448
438,122,244.00000000118098
439,588,1176.0000000012608
440,86,172.0000000017678
441,95,190.00000000059924
442,94,187.99999999666136
443,95,190.0000000054211
444,95,189.99999999452953
445,95,189.99999999773758
446,604,1207.9999999974623
447,90,179.9999999989949
448,588,1175.99999999946
449,86,172.00000000041751
450,105,210.0000000016748
451,98,196.0000000017383
452,98,195.99999999973426
453,98,196.00000000137376
454,88,175.99999999762585
455,157,314.0000000026479
456,222,444.000000000985
457,178,356.0000000021067
458,1292,2584.0000000027576
459,1242,2483.999999999388
460,1242,2483.9999999998295
461,1292,2584.000000004735
462,133,265.9999999996546
463,588,1175.9999999997463
464,86,171.99999999614283
465,606,1211.9999999948398
466,94,188.00000000009902
467,127,254.00000000246254
468,78,156.00000000079362
469,102,203.99999999504297
470,94,187.99999999979678
471,66,132.0000000006628
472,66,131.99999999869783
473,91,182.00000000098817
474,86,172.00000000060808
475,85,169.99999999840907
476,89,177.99999999831434
477,67,133.99999999785177
478,88,175.99999999787974
479,72,143.99999999831383
480,85,170.0000000028822
481,1242,2483.9999999992297
482,1073,2146.000000001134
483,85,170.00000000094818
484,74,147.9999999983545
485,66,131.99999999796825
486,1466,2931.999999997151
487,536,1072.0000000017858
488,66,131.99999999925353
489,444,888.000000000387
490,66,132.00000000068667
491,130,260.0000000005084
492,158,315.999999999643
493,497,993.9999999999006
494,138,276.00000000083094
495,66,131.99999999928073
496,110,219.99999999956742
497,66,131.99999999943498
498,66,132.00000000102716
499,66,132.0000000026978

Detailed Analysis
Mean (Doubled),1017.3280000000133
Std Dev (Doubled),1210.3193613323833
"Anomalies (Index, Value)"
