Packet Index,Packet Length (Original),Packet Length (Doubled)
0,86,171.99999999744824
1,66,132.00000000142452
2,86,172.00000000209235
3,74,147.99999999990152
4,591,1182.000000000584
5,74,147.99999999767738
6,201,401.99999999330544
7,80,160.00000000034126
8,121,241.99999999801753
9,1486,2972.0000000002738
10,1486,2971.9999999988877
11,1486,2972.0000000024193
12,1449,2898.0000000014443
13,360,719.9999999966324
14,132,264.0000000030467
15,74,148.00000000042155
16,74,148.00000000024585
17,138,275.99999999914576
18,132,263.9999999999998
19,86,171.99999999512352
20,982,1964.0000000035482
21,1486,2972.000000001154
22,74,147.99999999767965
23,1486,2971.9999999981437
24,74,147.99999999694373
25,74,148.00000000016007
26,1486,2971.9999999979595
27,74,148.0000000001042
28,1486,2972.0000000032046
29,1486,2971.999999999041
30,1486,2971.999999999938
31,74,148.00000000166892
32,1486,2972.0000000044033
33,74,147.99999999843985
34,1486,2971.99999999586
35,74,148.0000000028831
36,74,147.9999999980571
37,1486,2971.999999999832
38,1486,2972.0000000003115
39,1486,2971.9999999883516
40,74,148.00000000007182
41,1486,2971.999999996977
42,128,255.9999999965671
43,66,131.9999999995857
44,118,236.00000000179784
45,127,254.0000000010516
46,110,219.99999999952934
47,66,132.00000000478326
48,74,148.0000000021505
49,74,147.99999999995066
50,74,148.00000000445743
51,74,148.0000000028352
52,74,148.00000000134196
53,1486,2971.999999998975
54,1486,2972.0000000049467
55,74,147.999999999098
56,1486,2972.0000000034747
57,74,148.0000000025453
58,1486,2971.9999999974307
59,74,147.99999999721808
60,1486,2971.999999997812
61,1486,2972.0000000010746
62,74,147.9999999990041
63,1486,2972.00000000252
64,74,148.0000000018062
65,1486,2971.999999999444
66,1486,2972.0000000000787
67,1486,2971.9999999988154
68,1486,2971.999999997831
69,74,147.99999999993133
70,1486,2972.00000000008
71,1486,2972.0000000056866
72,74,148.00000000005136
73,1486,2971.9999999985216
74,1486,2971.999999999792
75,74,148.00000000226237
76,1486,2972.0000000017194
77,1486,2972.000000000659
78,74,147.99999999680153
79,1486,2972.000000002021
80,1486,2971.9999999991137
81,74,147.99999999808983
82,1486,2972.0000000020236
83,1486,2972.0000000004193
84,74,147.99999999918168
85,1486,2971.99999999825
86,1486,2971.9999999991196
87,1486,2972.0000000016817
88,74,147.9999999999577
89,1486,2971.9999999981924
90,1486,2971.999999998393
91,74,147.999999998938
92,1486,2971.9999999994925
93,1486,2972.0000000002974
94,74,147.99999999608724
95,1486,2971.9999999996444
96,1486,2972.0000000027467
97,1486,2971.9999999979586
98,1486,2971.999999999434
99,74,148.0000000019752
100,1486,2971.9999999985735
101,1486,2972.0000000003643
102,74,147.99999999338706
103,1486,2971.9999999995835
104,1486,2972.000000000201
105,74,147.99999999865963
106,74,148.00000000180603
107,1486,2972.000000003033
108,1486,2972.0000000005866
109,1486,2972.000000000199
110,1486,2972.0000000038513
111,1486,2972.000000001426
112,74,148.00000000508362
113,1486,2972.000000000043
114,1486,2972.0000000005753
115,74,147.9999999989543
116,74,147.99999999919396
117,1486,2971.999999997625
118,1486,2971.9999999998768
119,74,148.00000000062687
120,74,147.99999999892407
121,74,148.00000000037835
122,74,148.00000000030332
123,74,147.9999999967688
124,1486,2972.0000000005007
125,1486,2971.999999997489
126,1486,2971.9999999968977
127,1486,2971.9999999998045
128,1486,2971.999999998722
129,1486,2972.0000000023997
130,74,147.99999999876172
131,74,147.99999999918032
132,1486,2972.0000000003192
133,1486,2972.0000000010536
134,74,147.99999999450654
135,74,148.00000000204204
136,1486,2971.9999999986157
137,1486,2971.9999999972742
138,74,148.00000000402756
139,74,148.00000000296694
140,74,148.00000000008095
141,74,148.0000000001346
142,74,147.99999999972624
143,74,147.99999999859665
144,1486,2971.999999998005
145,1486,2972.0000000052733
146,1486,2971.999999996206
147,1486,2972.000000000072
148,1486,2971.99999999788
149,1486,2972.0000000019236
150,1486,2972.0000000000655
151,74,148.00000000562045
152,74,147.99999999876354
153,1486,2972.000000005647
154,1486,2972.0000000071714
155,74,147.9999999994202
156,74,148.00000000402065
157,1486,2972.000000008657
158,1486,2971.99999999909
159,74,147.9999999998824
160,74,147.99999999929673
161,74,148.0000000004598
162,74,147.99999999983393
163,74,147.99999999903284
164,1486,2972.0000000002083
165,1486,2971.999999994511
166,1486,2971.999999998909
167,1486,2972.000000001188
168,1486,2971.9999999994566
169,1486,2972.0000000059813
170,1486,2971.999999998773
171,1486,2972.000000003961
172,74,147.99999999995714
173,74,148.00000000580192
174,1486,2971.999999995911
175,1486,2971.9999999991105
176,74,148.00000000076696
177,74,148.00000000000796
178,1486,2971.99999999999
179,1486,2971.999999998095
180,74,147.99999999957384
181,74,147.9999999994155
182,74,147.99999999850516
183,74,147.99999999738844
184,74,147.99999999496018
185,74,147.99999999922963
186,74,148.0000000024138
187,74,147.9999999975685
188,1486,2971.9999999998918
189,1486,2971.9999999993615
190,1486,2972.0000000027635
191,1486,2971.9999999977813
192,1486,2971.9999999989122
193,1486,2971.999999999922
194,1486,2971.9999999995953
195,1486,2971.9999999996103
196,1486,2972.000000001116
197,74,147.99999999966667
198,74,148.0000000000231
199,1486,2971.9999999981815
200,1486,2972.0000000004575
201,74,147.99999999874785
202,74,147.99999999966977
203,1486,2971.999999999939
204,1486,2971.9999999980328
205,74,148.00000000095537
206,74,147.9999999995819
207,74,147.99999999999375
208,74,148.0000000009146
209,74,147.99999999980906
210,74,148.00000000033884
211,74,148.0000000002373
212,74,148.0000000001399
213,74,148.0000000001561
214,1486,2972.000000001046
215,1486,2972.000000000153
216,1486,2971.9999999986594
217,1486,2972.0000000018035
218,1486,2972.0000000007167
219,1486,2971.999999996947
220,434,867.9999999983563
221,74,147.9999999994415
222,74,148.00000000320526
223,74,148.0000000020444
224,74,148.00000000171923
225,74,148.00000000041751
226,74,148.0000000014584
227,74,148.00000000001944
228,74,148.0000000019411
229,74,148.00000000189647
230,74,148.0000000032544
231,469,938.0000000029745
232,74,147.99999999978206
233,98,196.00000000340273
234,94,188.0000000053451
